state,abbr,year
Texas,TX,1980
Florida,FL,1991
Oklahoma,OK,1994
Minnesota,MN,1996
Delaware,DE,2000
Idaho,ID,2001
Alaska,AK,2001
Oregon,OR,2001
Iowa,IA,2002
California,CA,2002
Wyoming,WY,2003
Missouri,MO,2003
Connecticut,CN,2003
Illinois,IL,2003
Louisiana,LA,2004
New Jersey,NJ,2004
New York,NY,2004
Colorado,CO,2004
Arkansas,AR,2005
Kentucky,KY,2005
Michigan,MI,2005
New Mexico,NM,2006
Virginia,VA,2007
Washington,WA,2007
Tennessee,TN,2007
Massachusetts,MA,2007
North Carolina,NC,2007
South Carolina,SC,2008
West Virginia,WV,2008
Vermont,VT,2008
Nebraska,NE,2009
Ohio,OH,2009
Kansas,KS,2009
Wisconsin,WI,2009
Indiana,IN,2010
Mississippi,MS,2010
Georgia,GA,2011
Maine,ME,2011
Nevada,NV,2011
Alabama,AL,2011
Pennsylvania,PA,2011
Rhode Island,RI,2013
Maryland,MD,2014
Arizona,AZ,2016
Utah,UT,2016
Hawaii,HI,
North Dakota,ND,
South Dakota,SD,
New Hampshire,NH,
Montana,MT,
